iso3,food_serving,personal_care,arts_media,sales,transport,office_admin,tour_soc_mean,ai_autonomy_mean,ai_education_years_mean,artifact_academic_paper_or_thesis_pct,artifact_advice_or_recommendation_pct,artifact_analysis_or_summary_pct,artifact_app_or_website_pct,artifact_audio_or_music_pct,artifact_blog_or_article_pct,artifact_chart_or_visualization_pct,artifact_code_fix_or_debug_pct,artifact_config_or_infra_pct,artifact_creative_writing_pct,artifact_data_or_spreadsheet_pct,artifact_document_or_report_pct,artifact_educational_material_pct,artifact_email_or_message_pct,artifact_explanation_or_answer_pct,artifact_game_or_interactive_pct,artifact_idea_or_brainstorm_pct,artifact_image_or_graphic_pct,artifact_marketing_or_social_content_pct,artifact_math_or_calculation_pct,artifact_ml_or_ai_system_pct,artifact_none_pct,artifact_other_pct,artifact_plan_or_strategy_pct,artifact_presentation_or_slides_pct,artifact_recipe_or_meal_plan_pct,artifact_resume_or_job_application_pct,artifact_script_or_snippet_pct,artifact_sql_or_database_query_pct,artifact_translation_pct,artifact_ui_or_design_mockup_pct,artifact_video_or_animation_pct,collaboration_bucket_augmentation_pct,collaboration_bucket_automation_pct,collaboration_directive_pct,collaboration_feedback_loop_pct,collaboration_learning_pct,collaboration_none_pct,collaboration_task_iteration_pct,collaboration_validation_pct,human_education_years_mean,human_only_ability_pct,human_only_time_mean,human_with_ai_time_mean,multitasking_pct,usage_pct,usage_per_capita_index,use_case_coursework_pct,use_case_personal_pct,use_case_work_pct
CAN,0.57,1.28,13.35,11.27,0.38,7.6,0.925,2.7,12.13,0.5,14.69,5.58,3.29,0.03,0.39,1.75,2.5,1.42,1.5,2.84,13.32,1.68,6.41,17.82,0.35,0.79,0.79,2.64,1.43,0.34,6.32,0.15,4.55,1.33,0.91,2.72,2.35,0.25,0.54,0.65,0.17,52.67,47.33,29.28,16.77,17.71,2.7,30.13,3.41,11.31,91.06,4.34,42.32,26.07,2.63,4.13,8.25,49.64,42.11
CHE,0.62,1.17,13.8,10.44,0.36,7.98,0.895,2.68,12.56,1.2,12.18,5.79,2.99,0.04,0.32,1.94,2.28,1.58,0.81,2.67,14.2,2.63,6.21,19.42,0.28,0.66,0.76,2.0,1.46,0.43,6.32,0.17,3.78,2.28,0.94,1.9,2.45,0.28,1.3,0.59,0.14,55.85,44.15,28.35,14.73,19.49,2.43,31.68,3.33,11.73,90.72,3.98,38.71,23.25,0.7,5.02,17.3,43.92,38.78
CHL,0.4,1.21,11.6,7.67,0.32,9.13,0.8049999999999999,2.82,13.08,0.77,7.56,5.29,4.79,0.03,0.25,3.16,3.32,1.61,1.38,4.7,18.05,4.05,3.3,14.08,0.37,0.52,1.11,2.0,2.05,0.46,6.27,0.16,4.31,3.42,0.43,1.03,3.41,0.48,0.55,0.89,0.19,51.18,48.82,30.3,17.35,14.88,2.39,32.32,2.75,12.25,83.95,5.2,41.36,21.15,0.59,1.84,21.73,30.38,47.89
CIV,0.41,1.35,15.47,6.49,0.29,10.43,0.88,2.83,12.46,2.14,5.45,3.58,6.25,0.04,0.21,1.5,2.71,1.21,1.34,3.79,19.89,4.75,4.18,15.01,0.19,0.42,1.65,2.57,2.73,0.45,5.87,0.19,2.82,3.08,0.28,2.23,2.95,0.32,0.95,1.06,0.21,47.06,52.94,39.03,12.47,13.42,2.71,30.47,1.9,11.13,79.66,6.15,34.72,21.23,0.13,0.3,27.57,31.81,40.62
CMR,0.42,1.46,14.41,4.97,,8.79,0.94,2.86,12.83,3.06,4.32,2.79,6.84,0.05,0.44,1.21,2.71,1.29,1.41,1.88,22.05,6.59,2.67,15.71,0.22,0.52,1.28,2.62,3.71,0.54,5.73,0.18,2.84,1.93,0.18,1.75,2.81,0.45,1.19,0.72,0.3,44.81,55.19,42.26,11.43,15.0,2.73,27.34,1.25,11.65,78.69,6.98,36.97,21.62,0.15,0.38,41.1,26.5,32.4
COG,,,14.46,6.57,,10.16,,2.84,12.15,1.32,6.11,4.31,6.95,0.0,0.0,1.68,4.07,1.92,1.32,3.83,19.88,6.47,3.35,14.01,0.96,0.72,1.08,2.16,3.35,0.24,5.03,0.12,1.44,1.68,0.24,2.51,2.63,0.48,1.68,0.24,0.24,46.66,53.34,38.82,12.98,13.82,2.88,29.57,1.92,10.79,77.84,5.63,35.2,22.75,0.02,0.24,31.38,34.85,33.77
COL,0.27,1.24,13.24,6.52,0.3,9.66,0.755,2.83,13.08,0.86,5.84,4.41,4.92,0.01,0.21,3.56,3.37,1.39,0.96,5.14,20.61,3.68,3.1,12.37,0.3,0.47,1.14,3.01,2.4,0.58,6.32,0.13,3.74,3.98,0.37,1.2,3.44,0.7,0.57,0.94,0.28,49.98,50.02,33.62,15.45,12.54,1.9,34.33,2.16,12.12,82.49,5.33,38.2,20.74,1.03,1.18,30.08,24.52,45.4
CRI,0.41,1.4,11.75,8.58,,8.75,0.9049999999999999,2.79,12.56,0.49,8.69,4.88,5.01,0.04,0.39,2.42,3.51,1.71,0.99,4.07,15.39,3.75,4.11,15.12,0.26,0.64,1.22,2.91,2.01,0.49,6.23,0.19,4.6,2.29,0.71,1.54,3.6,0.88,0.75,0.9,0.21,51.07,48.93,29.06,18.67,15.22,2.45,32.3,2.3,11.63,84.93,4.89,40.71,23.99,0.13,1.57,21.21,33.31,45.48
CYP,,0.8,13.69,9.34,,8.52,0.8,2.72,12.74,0.97,12.02,5.4,3.82,0.11,0.58,1.55,3.17,1.87,1.04,2.88,15.3,2.52,5.33,15.77,0.32,0.58,0.76,3.85,1.3,0.36,6.48,0.29,4.5,1.48,0.97,1.01,2.88,0.43,1.37,0.9,0.22,52.26,47.74,29.42,17.3,16.9,2.14,31.42,2.82,11.8,87.9,4.76,40.89,24.3,0.07,3.08,9.11,38.73,52.16
CZE,0.49,1.04,11.78,10.41,0.34,7.22,0.765,2.71,12.54,1.07,11.76,5.59,3.83,0.02,0.61,2.08,3.28,2.14,1.13,2.52,12.77,2.86,3.82,20.47,0.66,0.66,0.79,2.3,1.52,0.55,6.53,0.2,3.62,1.72,0.9,0.72,3.23,0.34,1.39,0.66,0.27,51.48,48.52,28.91,18.19,19.62,2.93,26.9,3.45,11.62,90.72,3.88,38.62,21.7,0.3,1.84,15.29,45.1,39.61
DEU,0.54,1.19,12.5,10.77,0.39,7.46,0.865,2.68,12.4,1.32,12.33,5.58,3.51,0.03,0.36,1.9,2.78,2.16,1.22,2.36,12.86,2.4,5.25,20.13,0.3,0.72,0.71,2.32,1.24,0.42,6.15,0.19,4.03,1.9,0.78,1.88,3.01,0.27,1.09,0.62,0.18,54.78,45.22,27.41,16.69,19.88,2.48,30.23,3.3,11.57,90.1,3.94,40.77,22.55,2.98,2.4,13.65,48.73,37.62
DNK,0.47,0.89,15.75,9.19,0.33,7.01,0.6799999999999999,2.65,12.92,4.1,11.1,5.97,2.75,0.02,0.29,2.26,2.82,1.75,0.99,2.67,14.17,2.06,4.41,18.66,0.33,0.65,0.43,1.86,1.5,0.32,6.49,0.22,3.49,2.02,0.73,2.22,3.59,0.28,1.05,0.66,0.13,57.73,42.27,26.19,15.15,18.85,2.2,33.14,4.46,12.33,91.21,3.95,43.2,21.76,0.32,3.57,25.31,39.33,35.36
DOM,0.41,1.42,12.99,7.45,,9.06,0.9149999999999999,2.85,12.26,0.54,7.57,4.54,6.18,0.04,0.44,2.55,4.42,1.66,1.93,4.0,16.48,4.98,3.57,12.98,0.58,0.5,1.58,2.9,1.68,0.52,6.08,0.17,3.96,3.09,0.46,0.93,2.88,0.54,0.7,1.18,0.39,47.9,52.1,33.33,17.33,11.69,2.77,33.06,1.83,10.98,81.59,5.28,38.7,24.48,0.12,0.67,18.37,35.13,46.5
DZA,0.35,1.61,12.58,6.47,0.17,7.24,0.98,2.71,12.52,2.62,6.62,4.96,5.43,0.02,0.15,2.67,4.07,1.0,1.3,1.48,12.17,7.9,1.6,21.06,0.4,0.44,1.08,1.41,4.27,0.61,5.95,0.11,3.0,1.95,0.28,0.84,3.43,0.4,1.83,0.69,0.23,52.57,47.43,33.09,12.83,21.83,3.18,26.42,2.66,11.3,82.69,4.5,33.43,17.64,0.39,0.56,47.12,31.08,21.8
ECU,0.25,1.35,13.88,6.48,0.25,9.14,0.8,2.81,12.91,1.38,5.9,3.96,4.06,0.0,0.16,4.27,3.27,1.33,1.05,4.18,21.84,4.43,2.74,13.71,0.43,0.38,1.07,2.47,2.41,0.47,6.88,0.13,3.4,3.61,0.4,0.85,3.02,0.71,0.5,0.74,0.24,50.62,49.38,34.15,14.09,11.65,2.31,35.55,2.25,11.85,83.78,4.89,34.67,20.16,0.17,0.58,38.64,22.73,38.63
EGY,0.29,1.56,10.38,7.37,0.29,6.8,0.925,2.76,12.65,0.85,7.96,3.53,6.88,0.0,0.29,2.59,5.97,1.77,1.0,3.05,11.28,4.97,2.08,17.5,0.42,0.58,0.95,2.31,1.75,0.95,6.54,0.21,3.96,2.82,0.47,2.0,4.22,0.62,1.1,1.02,0.34,49.13,50.87,32.52,17.04,17.87,2.58,27.32,2.66,11.44,81.05,5.2,34.9,18.03,0.62,0.36,28.15,31.07,40.78
ESP,0.56,1.17,12.75,9.14,0.33,8.01,0.865,2.73,12.77,1.15,10.31,5.64,4.37,0.04,0.42,2.31,3.31,1.77,1.16,3.03,15.9,3.25,4.23,16.07,0.5,0.52,0.89,2.7,1.5,0.56,6.18,0.16,4.33,2.1,0.78,1.07,3.22,0.46,1.05,0.75,0.28,51.9,48.1,28.98,18.13,16.42,2.06,31.41,3.01,11.85,86.59,4.87,43.32,22.99,2.05,2.69,19.22,38.5,42.28
EST,,1.27,12.55,11.43,,6.74,1.27,2.68,12.2,1.47,13.92,5.72,3.5,0.04,0.56,1.5,3.09,1.92,1.2,2.41,11.85,1.2,4.4,20.24,0.26,0.94,0.94,2.56,1.69,0.53,6.4,0.23,3.61,1.88,1.13,0.98,3.05,0.38,1.54,0.53,0.34,50.78,49.22,29.67,18.25,18.1,2.66,27.09,4.25,11.37,92.07,3.95,40.36,23.08,0.07,3.21,12.67,46.95,40.38
FIN,0.52,1.11,14.07,10.84,0.33,6.39,0.8150000000000001,2.66,12.41,1.85,11.81,6.85,2.96,0.04,0.57,2.07,2.96,2.02,1.59,2.11,11.09,1.45,3.98,21.88,0.61,0.88,0.47,2.06,1.49,0.47,6.46,0.12,3.92,1.96,0.76,1.82,3.04,0.3,1.73,0.54,0.14,54.09,45.91,27.17,17.49,20.81,2.74,27.79,4.0,11.7,91.77,3.89,41.08,23.65,0.18,2.19,12.85,48.67,38.49
FRA,0.63,1.23,13.78,11.0,0.34,7.69,0.9299999999999999,2.68,12.12,0.98,12.37,4.84,3.53,0.04,0.35,2.05,2.6,1.44,1.28,2.51,13.72,3.33,5.5,19.22,0.42,0.75,0.87,2.23,1.71,0.4,5.85,0.17,4.08,1.96,0.98,2.05,2.6,0.22,1.05,0.75,0.15,54.4,45.6,28.63,15.95,18.18,2.21,32.2,2.82,11.0,88.4,4.17,39.67,22.56,3.95,3.97,17.65,48.11,34.23
GBR,0.58,1.15,13.53,9.94,0.43,7.27,0.865,2.69,12.69,1.73,13.58,6.23,3.14,0.03,0.46,1.72,2.17,1.17,1.28,2.46,14.62,3.28,5.81,16.8,0.31,0.73,0.66,2.59,1.56,0.29,6.19,0.15,4.61,1.65,0.79,2.35,2.18,0.26,0.39,0.64,0.15,55.19,44.81,28.29,15.4,18.2,2.49,31.33,4.29,11.98,91.2,4.69,48.03,26.29,3.47,3.35,17.5,43.47,39.02
GEO,0.56,1.39,13.18,9.64,,5.33,0.975,2.66,12.0,0.89,11.87,4.65,4.03,0.02,0.57,1.85,4.35,1.83,1.36,2.65,9.15,3.17,2.89,21.71,0.27,0.84,1.06,2.74,1.46,0.62,5.89,0.3,4.28,1.41,0.96,1.29,3.83,0.52,2.45,0.69,0.4,51.91,48.09,28.12,18.42,20.19,3.24,26.52,3.51,10.87,89.31,3.91,39.29,22.89,0.1,1.8,12.29,45.72,41.99
GHA,0.29,1.46,16.07,6.64,0.34,8.59,0.875,2.86,12.27,2.33,6.3,2.81,6.81,0.0,0.34,1.53,3.61,1.03,1.23,2.23,18.33,5.52,5.09,17.02,0.21,0.55,1.69,2.64,2.33,0.29,5.64,0.09,3.1,3.0,0.14,2.16,1.95,0.3,0.32,0.97,0.45,45.32,54.68,40.9,12.5,14.59,2.34,27.42,2.25,11.16,83.28,6.44,36.38,24.68,0.19,0.38,29.57,32.64,37.78
GRC,0.51,1.0,11.4,9.87,0.38,7.86,0.755,2.71,12.88,1.6,11.14,5.74,4.16,0.02,0.54,1.66,3.86,2.04,1.08,3.39,13.07,1.96,4.49,18.49,0.31,0.56,1.01,2.28,1.2,0.44,6.6,0.2,4.11,2.05,0.64,0.89,3.83,0.48,1.23,0.66,0.26,52.19,47.81,27.58,19.06,17.94,2.45,29.68,3.29,12.04,87.27,4.56,42.26,21.64,0.23,1.51,13.57,39.3,47.13
GTM,0.36,1.4,12.46,7.33,,9.69,0.8799999999999999,2.82,12.44,0.65,7.29,3.62,5.32,0.05,0.19,3.55,3.64,1.89,1.25,5.3,17.72,3.57,3.14,13.57,0.34,0.65,1.15,2.09,2.64,0.41,6.98,0.14,3.26,3.76,0.48,1.1,3.02,1.03,0.62,1.15,0.43,48.25,51.75,33.12,17.39,13.03,2.41,31.7,2.36,11.34,83.55,4.92,38.66,21.82,0.1,0.37,32.03,28.67,39.3
HND,,1.42,13.32,7.58,,9.64,1.42,2.81,11.96,0.78,7.29,3.98,5.49,0.0,0.17,2.41,3.36,1.68,1.85,5.49,16.54,4.04,4.09,15.19,0.39,0.62,2.02,3.03,2.24,0.17,6.22,0.39,3.48,2.19,0.62,1.01,2.8,1.01,0.22,0.84,0.39,47.26,52.74,34.37,16.62,12.73,3.32,31.27,1.69,10.74,83.96,4.49,34.76,21.87,0.04,0.26,21.92,31.61,46.47
HRV,0.71,1.15,11.18,10.61,,6.89,0.9299999999999999,2.66,12.44,0.81,11.95,5.0,3.56,0.05,0.45,1.96,3.68,1.89,1.27,2.53,13.34,1.98,4.21,19.79,0.24,0.62,0.91,2.49,1.55,0.24,6.6,0.65,3.73,1.82,0.67,0.86,4.61,0.5,1.24,0.65,0.17,50.97,49.03,30.43,17.33,17.76,2.6,28.79,3.1,11.55,90.11,4.2,40.7,22.15,0.1,1.8,13.53,42.9,43.57
HTI,,1.64,18.9,6.46,,7.33,1.64,2.79,11.26,1.26,6.2,3.0,7.16,0.0,0.1,1.06,2.9,0.77,2.23,1.84,16.07,8.23,2.9,18.97,0.29,0.77,1.55,3.1,3.78,0.1,5.52,0.29,3.0,1.45,0.29,1.84,1.55,0.29,2.13,0.68,0.68,47.74,52.26,37.43,12.86,17.6,3.77,26.02,2.32,9.58,83.37,5.11,33.12,23.72,0.03,0.14,29.3,40.81,29.88
HUN,0.51,1.15,11.97,10.16,0.48,6.72,0.83,2.71,12.62,1.19,11.54,5.25,3.76,0.06,0.55,1.96,4.1,2.22,1.7,2.8,11.8,3.14,3.49,20.13,0.47,0.71,0.96,2.15,1.4,0.44,6.52,0.19,3.83,1.87,0.68,0.91,3.8,0.28,1.41,0.52,0.16,51.9,48.1,28.12,18.62,19.78,2.83,26.76,3.89,11.79,87.93,4.27,40.84,21.98,0.16,1.07,17.02,45.11,37.87
IDN,0.26,1.21,17.35,5.29,0.26,8.71,0.735,2.83,13.3,4.14,5.09,4.77,4.27,0.01,0.46,3.45,3.42,1.01,1.76,3.12,22.69,4.96,1.75,12.94,0.35,0.92,0.8,2.19,1.74,0.47,6.71,0.16,2.19,3.87,0.21,1.12,2.98,0.41,0.8,0.95,0.31,52.49,47.51,36.49,10.2,12.61,1.72,36.61,2.37,12.31,84.63,4.98,32.32,16.93,2.08,0.46,45.88,24.71,29.41
IND,0.3,1.29,11.82,7.84,0.29,7.46,0.795,2.84,12.61,0.8,9.52,3.72,6.57,0.02,0.58,2.8,4.97,1.22,1.09,3.02,12.34,5.35,3.19,13.76,0.28,0.68,1.06,3.08,1.35,0.56,6.7,0.15,5.09,2.57,0.4,3.31,3.43,0.54,0.29,1.08,0.5,48.13,51.87,36.73,13.93,16.17,2.33,28.55,2.29,11.4,84.06,5.69,35.58,19.92,7.12,0.3,19.95,35.92,44.14
IRL,0.55,1.53,12.06,11.11,0.39,7.14,1.04,2.69,12.26,1.3,15.51,5.08,2.88,0.01,0.34,2.02,1.89,1.13,1.32,2.5,13.23,3.3,5.47,17.6,0.41,0.49,0.65,1.91,1.74,0.32,6.35,0.14,4.78,1.69,0.96,3.13,2.22,0.24,0.65,0.62,0.13,53.26,46.74,29.42,16.15,18.89,2.52,29.23,3.8,11.36,91.22,4.42,43.8,26.38,0.27,3.23,15.8,47.94,36.26
IRQ,0.5,1.99,12.35,8.14,0.27,6.95,1.245,2.71,11.75,1.79,8.83,4.47,6.33,0.06,0.08,1.15,3.4,0.9,2.17,1.7,10.14,8.59,1.38,23.95,0.58,0.57,1.15,1.2,2.8,0.55,6.39,0.25,2.66,1.61,0.31,0.65,2.64,0.31,2.44,0.68,0.27,50.56,49.44,34.18,13.36,20.61,3.85,24.83,3.17,10.35,81.12,4.17,29.21,14.63,0.16,0.24,34.54,41.92,23.54
ISL,,,11.3,10.1,,8.0,,2.71,12.36,1.91,14.7,4.83,4.23,0.0,0.3,2.52,1.71,2.11,1.31,2.82,13.19,2.11,3.02,20.34,0.3,1.21,1.01,1.21,1.31,0.1,6.75,0.5,4.53,1.51,0.6,0.5,2.32,0.3,1.71,0.91,0.1,51.62,48.38,27.3,19.41,17.9,3.44,28.11,3.84,11.44,89.34,4.06,45.54,24.85,0.02,4.02,14.6,48.94,36.46
